Month,Ozone
1932-01,318
1932-02,347
1932-03,370
1932-04,394
1932-05,360
1932-06,347
1932-07,334
1932-08,299
1932-09,292
1932-10,287
1932-11,293
1932-12,281
1933-01,357
1933-02,364
1933-03,399
1933-04,382
1933-05,390
1933-06,374
1933-07,335
1933-08,319
1933-09,309
1933-10,312
1933-11,311
1933-12,337
1934-01,334
1934-02,321
1934-03,392
1934-04,358
1934-05,365
1934-06,355
1934-07,328
1934-08,321
1934-09,282
1934-10,287
1934-11,291
1934-12,297
1935-01,332
1935-02,390
1935-03,367
1935-04,383
1935-05,375
1935-06,319
1935-07,331
1935-08,311
1935-09,288
1935-10,275
1935-11,299
1935-12,313
1936-01,329
1936-02,393
1936-03,398
1936-04,384
1936-05,373
1936-06,352
1936-07,328
1936-08,315
1936-09,303
1936-10,310
1936-11,298
1936-12,307
1937-01,347
1937-02,352
1937-03,395
1937-04,382
1937-05,365
1937-06,349
1937-07,324
1937-08,323
1937-09,301
1937-10,283
1937-11,280
1937-12,355
1938-01,337
1938-02,370
1938-03,325
1938-04,392
1938-05,384
1938-06,336
1938-07,325
1938-08,325
1938-09,296
1938-10,280
1938-11,285
1938-12,299
1939-01,320
1939-02,341
1939-03,385
1939-04,347
1939-05,382
1939-06,339
1939-07,331
1939-08,313
1939-09,286
1939-10,304
1939-11,284
1939-12,309
1940-01,387
1940-02,400
1940-03,418
1940-04,430
1940-05,403
1940-06,388
1940-07,346
1940-08,323
1940-09,310
1940-10,292
1940-11,302
1940-12,338
1941-01,362
1941-02,395
1941-03,417
1941-04,409
1941-05,417
1941-06,361
1941-07,348
1941-08,336
1941-09,306
1941-10,299
1941-11,309
1941-12,309
1942-01,400
1942-02,422
1942-03,373
1942-04,408
1942-05,376
1942-06,347
1942-07,325
1942-08,309
1942-09,284
1942-10,272
1942-11,298
1942-12,313
1943-01,338
1943-02,341
1943-03,385
1943-04,363
1943-05,348
1943-06,352
1943-07,336
1943-08,303
1943-09,291
1943-10,292
1943-11,303
1943-12,321
1944-01,300
1944-02,365
1944-03,385
1944-04,360
1944-05,349
1944-06,351
1944-07,319
1944-08,306
1944-09,290
